Gene ID	Gene Name	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1a Paris classification'.p-value	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1a Paris classification'.log2foldchange	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1b Paris classification'.p-value	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1b Paris classification'.log2foldchange
ENSG00000064393	HIPK2	0.564839176348481	-0.1	0.286931400315519	0.1
ENSG00000064419	TNPO3	0.0124085587462149	-0.2	0.00115878678797964	-0.1
ENSG00000064489	BORCS8-MEF2B	0.279443678168062	-0.5	0.495904398672146	-0.2
ENSG00000064490	RFXANK	0.569635644844958	0.1	0.995666968918894	0
ENSG00000064545	TMEM161A	0.0396313129874854	0.3	0.12478173413176	0.1
ENSG00000064547	LPAR2	0.133359015751342	0.3	0.725530068799007	0.1
ENSG00000064601	CTSA	0.941374794234496	0	0.948056427450973	0
ENSG00000064607	SUGP2	0.982545648669052	0	0.90873221942544	0
ENSG00000064651	SLC12A2	0.987080784479609	0	0.00993304047811048	0.4
ENSG00000064652	SNX24	0.00495083448096813	-0.6	1.26488048061914e-10	-0.7
ENSG00000064655	EYA2	0.267597694118613	0.6	4.79863346803193e-07	1.6
ENSG00000064666	CNN2	0.679261681506754	0.1	0.0918074833485743	0.2
ENSG00000064687	ABCA7	0.483419110106249	0.3	0.770969081936256	-0.1
ENSG00000064692	SNCAIP	0.888563794062283	-0.1	0.00520441698742359	0.4
ENSG00000064703	DDX20	0.519252123416124	-0.1	0.366368047575931	0
ENSG00000064726	BTBD1	0.0762224874949628	-0.2	0.294360045945441	-0.1
ENSG00000064763	FAR2	0.629378125422434	0.1	0.0442048495359619	0.2
ENSG00000064787	BCAS1	0.766426599228842	0.1	0.817502286929941	0.1
ENSG00000064835	POU1F1	NA	-0.1	0.121051865991249	-0.5
ENSG00000064886	CHI3L2	0.590575697338402	0.3	0.0724659753209759	0.5
ENSG00000064932	SBNO2	0.000432146871185404	0.7	1.86925150630022e-07	0.6
ENSG00000064933	PMS1	0.768267438841874	0.1	0.838637316257562	0
ENSG00000064961	HMG20B	0.380414181290294	0.2	0.576558981067365	-0.1
ENSG00000064989	CALCRL	0.653111193170108	0.2	8.15922332020623e-08	0.8
ENSG00000064995	TAF11	0.876010839910138	0	0.0592758031849762	-0.1
ENSG00000064999	ANKS1A	0.811270123669836	0	0.952468203905006	0
ENSG00000065000	AP3D1	0.315097649100989	0.1	0.13074650927449	0.1
ENSG00000065029	ZNF76	0.14906471806618	0.2	0.616107483840533	0
ENSG00000065054	SLC9A3R2	0.0412225058431523	0.3	0.000320982541197487	0.3
ENSG00000065057	NTHL1	0.281652924270049	0.3	0.662027299961356	0.1
ENSG00000065060	UHRF1BP1	0.780853947519876	0.1	0.137640069891683	0.1
ENSG00000065135	GNAI3	0.873140294627082	0	0.000159324988745815	0.2
ENSG00000065150	IPO5	0.247499017138658	-0.2	0.266189294714273	0.1
ENSG00000065154	OAT	0.012821416191384	-0.8	9.77246561777063e-05	-0.9
ENSG00000065183	WDR3	0.609310924842335	-0.1	0.119225566152405	0.1
ENSG00000065243	PKN2	0.187892743812903	-0.3	0.185857785228831	-0.1
ENSG00000065268	WDR18	0.548581006392081	0.2	0.391847283201766	0.1
ENSG00000065308	TRAM2	0.446834680046407	0.1	2.94923590558011e-05	0.4
ENSG00000065320	NTN1	0.376728330798513	0.3	1.79847713560911e-07	1.1
ENSG00000065325	GLP2R	0.052072932330192	-0.6	0.00261866678533557	-0.6
ENSG00000065328	MCM10	0.913989982152691	0	0.0387678581549963	0.3
ENSG00000065357	DGKA	0.344140582714496	-0.2	1.73098275290049e-06	-0.5
ENSG00000065361	ERBB3	0.323331376884798	-0.3	0.00496278197778616	-0.5
ENSG00000065371	ROPN1	NA	0	0.808353058018981	-0.1
ENSG00000065413	ANKRD44	0.755584941339365	-0.1	0.464132517330166	-0.1
ENSG00000065427	KARS1	0.45055106498122	0.1	0.010916327088817	0.2
ENSG00000065457	ADAT1	0.540970275503147	-0.1	0.578562143000161	0.1
ENSG00000065485	PDIA5	0.000191851517241553	0.5	1.33655305709639e-13	0.5
ENSG00000065491	TBC1D22B	0.32240639847921	-0.2	0.0101325878694026	-0.2
ENSG00000065518	NDUFB4	0.696370613581536	-0.1	0.910592707118771	0
ENSG00000065526	SPEN	0.206659109056994	-0.3	0.322889163050692	-0.1
ENSG00000065534	MYLK	0.999677138946898	0	0.00157952992269124	0.3
ENSG00000065548	ZC3H15	0.306511715312015	-0.1	0.202701002367947	-0.1
ENSG00000065559	MAP2K4	0.471505119923792	-0.1	0.555738045273214	0
ENSG00000065600	PACC1	0.471285778679978	0.2	0.00452255978378775	0.3
ENSG00000065609	SNAP91	0.0744722470314982	-0.8	4.75035126570391e-05	-1.1
ENSG00000065613	SLK	0.455371826452255	-0.1	0.48510928270633	0.1
ENSG00000065615	CYB5R4	0.777796297831261	0	0.00284024155609178	0.2
ENSG00000065618	COL17A1	0.00185535643914054	-0.8	5.30406085061294e-08	-0.9
ENSG00000065621	GSTO2	0.635363006370992	-0.1	0.0935917165440343	-0.3
ENSG00000065665	SEC61A2	0.617151563753406	0.1	0.839962700331275	0
ENSG00000065675	PRKCQ	0.371919777489742	-0.2	0.0061440970605576	-0.3
ENSG00000065717	TLE2	0.0745715624269915	0.4	0.0294365255822856	0.3
ENSG00000065802	ASB1	0.573876689785106	-0.1	0.230865112924925	-0.1
ENSG00000065809	FAM107B	0.00624361610030887	-0.3	0.100939524806058	-0.1
ENSG00000065833	ME1	0.177540354578761	0.3	2.68019559589623e-09	0.6
ENSG00000065882	TBC1D1	0.239315579449614	-0.1	0.915525381608016	0
ENSG00000065883	CDK13	0.0901953367138763	-0.2	0.0230411717898232	-0.1
ENSG00000065911	MTHFD2	0.000276021479851592	0.7	8.77446013605075e-13	0.9
ENSG00000065923	SLC9A7	0.84743264051614	-0.1	0.665948494211416	-0.1
ENSG00000065970	FOXJ2	0.370608410788939	-0.1	0.557031816592708	0
ENSG00000065978	YBX1	0.621572540047627	-0.1	0.402511096971627	0.1
ENSG00000065989	PDE4A	0.0144254920021661	0.4	8.57901805362195e-11	0.7
ENSG00000066027	PPP2R5A	0.706608208620114	-0.1	0.885661660983773	0
ENSG00000066032	CTNNA2	0.62317011219573	-0.3	0.724401276586056	-0.1
ENSG00000066044	ELAVL1	0.877703697936372	0	0.468845745522444	0
ENSG00000066056	TIE1	0.0731104002605409	0.4	1.31316301562362e-06	0.7
ENSG00000066084	DIP2B	0.90934642381653	0	0.0416303244462592	0.2
ENSG00000066117	SMARCD1	0.123862600362542	-0.1	0.00523638384127973	-0.1
ENSG00000066135	KDM4A	0.477742713665368	-0.1	0.776548056410755	0
ENSG00000066136	NFYC	0.757566541049017	0	0.0613570956146818	-0.1
ENSG00000066185	ZMYND12	0.308131676729638	-0.3	0.841719279155152	0
ENSG00000066230	SLC9A3	0.405862532613903	-0.4	0.562876206989908	-0.2
ENSG00000066248	NGEF	0.273212077025645	-0.4	0.000595558604520994	-0.7
ENSG00000066279	ASPM	0.658824264365744	-0.1	0.306576619834888	0.1
ENSG00000066294	CD84	0.885648207348467	0.1	0.26243437917154	0.2
ENSG00000066322	ELOVL1	0.993846555025134	0	0.653739296764673	0
ENSG00000066336	SPI1	0.0038987321209136	0.7	1.03722450095964e-07	0.9
ENSG00000066379	POLR1H	0.532997157167907	0.2	0.929651775327407	0
ENSG00000066382	MPPED2	0.329130868775586	-0.4	0.716058474828931	-0.1
ENSG00000066405	CLDN18	8.16220396136988e-07	1.7	1.79453347128815e-09	1.4
ENSG00000066422	ZBTB11	0.202991259691509	-0.2	0.192168031850697	-0.1
ENSG00000066427	ATXN3	3.23527763903658e-05	-0.4	0.00063006585792627	-0.3
ENSG00000066455	GOLGA5	0.732613696194378	0.1	0.0258183922231115	0.1
ENSG00000066468	FGFR2	0.911883388666892	0	0.631799491657685	0.1
ENSG00000066557	LRRC40	0.0271712991302041	-0.3	0.0122722858034202	-0.2
ENSG00000066583	ISOC1	0.318491536242078	-0.1	0.803918446570255	0
ENSG00000066629	EML1	0.951603758301426	0	0.077068041058579	0.2
ENSG00000066651	TRMT11	0.918407983942441	0	0.0607133180685252	-0.1
ENSG00000066654	THUMPD1	0.463590798330484	-0.1	0.899686704833638	0
ENSG00000066697	MSANTD3	0.13094814752327	0.3	4.2814384359248e-06	0.6
ENSG00000066735	KIF26A	0.381244137817658	0.3	0.000167228341109428	0.6
ENSG00000066739	ATG2B	0.396388157938137	-0.2	0.0174862284101223	-0.2
ENSG00000066777	ARFGEF1	0.0624327566967032	-0.3	0.0363824406377835	-0.2
ENSG00000066813	ACSM2B	0.640661932388471	-0.3	0.649721086686373	-0.2
ENSG00000066827	ZFAT	0.196625119242376	-0.2	0.358258379977682	0.1
ENSG00000066855	MTFR1	0.0961144311009177	-0.2	0.107879606628953	-0.1
ENSG00000066923	STAG3	0.682027398385314	-0.1	0.241838139429655	-0.1
ENSG00000066926	FECH	0.41402548229343	0.1	1.28951748180444e-05	0.2
ENSG00000066933	MYO9A	0.262239715169024	-0.2	0.0238464846169544	-0.2
ENSG00000067048	DDX3Y	0.747170060524547	-0.2	0.862539297002166	0.1
ENSG00000067057	PFKP	0.774246540118197	-0.1	0.0633149520675492	-0.2
ENSG00000067064	IDI1	0.913243298634213	0	0.114307708323369	0.1
ENSG00000067066	SP100	0.164650213791031	-0.1	0.0872489295037706	-0.1
ENSG00000067082	KLF6	0.589847064926656	0.1	0.0313118121694264	0.2
ENSG00000067113	PLPP1	0.831670655303055	0	0.114721868558622	0.1
ENSG00000067141	NEO1	0.377956434481603	-0.2	0.578886387435455	-0.1
ENSG00000067167	TRAM1	0.92070252127101	0	6.75970917278769e-08	0.4
ENSG00000067177	PHKA1	6.563279957258e-10	1.2	9.55832454652024e-23	1.2
ENSG00000067182	TNFRSF1A	0.564632921547737	0.1	0.476892172486274	-0.1
ENSG00000067191	CACNB1	0.0957062201214458	0.4	0.0908036042891446	0.2
ENSG00000067208	EVI5	0.788212196779896	-0.1	0.0861414574507763	0.1
ENSG00000067221	STOML1	0.876656016534798	0	0.607602762240764	0
ENSG00000067225	PKM	0.0870841934660122	0.3	1.51727903901207e-06	0.5
ENSG00000067248	DHX29	0.82373523576424	0	0.192812889718581	0.1
ENSG00000067334	DNTTIP2	0.623130754419236	-0.1	0.900839014040473	0
ENSG00000067365	METTL22	0.333958693215564	0.1	0.777536521465471	0
ENSG00000067369	TP53BP1	0.922824591646066	0	0.236002513646563	0.2
ENSG00000067445	TRO	0.381502220740943	0.2	0.26496780537791	0.2
ENSG00000067533	RRP15	0.606442594238774	-0.1	0.638133590564075	0
ENSG00000067560	RHOA	0.918320606904915	0	0.23664009511095	0.1
ENSG00000067596	DHX8	0.590624042226556	-0.1	0.38034023283299	0
ENSG00000067601	PMS2P4	0.786846407736564	0.1	0.802611561395259	0.1
ENSG00000067606	PRKCZ	0.026606209360228	-0.5	7.59297153291616e-05	-0.5
ENSG00000067646	ZFY	0.628566342542127	-0.3	0.756689030447548	0.2
ENSG00000067704	IARS2	0.0540860056671707	-0.2	0.228828012748263	-0.1
ENSG00000067715	SYT1	0.00849741697033563	-1	0.0941649555866605	-0.5
ENSG00000067798	NAV3	0.698382261173516	-0.2	0.984674135292249	0
ENSG00000067829	IDH3G	0.676876238595887	0.1	0.267304850496896	-0.1
ENSG00000067836	ROGDI	0.812469952689039	-0.1	0.0043925831454323	-0.3
ENSG00000067840	PDZD4	0.780157097553862	-0.1	0.0664562915513065	-0.2
ENSG00000067842	ATP2B3	NA	-0.2	0.524573242880821	-0.3
ENSG00000067900	ROCK1	0.361779471998185	-0.2	0.821687466189359	0
ENSG00000067955	CBFB	0.810663057399515	-0.1	0.219026200994731	0.1
ENSG00000067992	PDK3	0.00317675312238562	-0.4	0.00563739292770276	-0.2
ENSG00000068001	HYAL2	7.64598049631804e-05	0.7	7.70792270353921e-13	0.8
ENSG00000068024	HDAC4	0.856631311584774	0	9.74052232449348e-05	0.2
ENSG00000068028	RASSF1	0.108311939689306	0.2	0.907754233577004	0
ENSG00000068078	FGFR3	0.199816196257239	-0.5	5.750628916141e-05	-0.8
ENSG00000068079	IFI35	0.00166546623681119	0.6	0.0153438790069469	0.3
ENSG00000068097	HEATR6	0.800781704344487	0.1	0.15441459276048	0.1
ENSG00000068120	COASY	0.46925797524591	0.1	0.23494271455506	-0.1
ENSG00000068137	PLEKHH3	0.00119746034826845	0.5	4.64567146846922e-08	0.5
ENSG00000068305	MEF2A	0.656185554133941	-0.1	0.907338116516766	0
ENSG00000068308	OTUD5	0.505662882308119	0.1	0.0042410169746987	-0.1
ENSG00000068323	TFE3	0.0311250086725733	0.2	1.06727951477772e-05	0.3
ENSG00000068354	TBC1D25	0.66672748548973	0.1	0.628665987878664	0
ENSG00000068366	ACSL4	0.00688075735353115	0.7	4.13681167575114e-15	1.5
ENSG00000068383	INPP5A	0.0989096328283386	-0.2	7.8920369418728e-05	-0.2
ENSG00000068394	GPKOW	0.931124508946946	0	0.751466674667273	0
ENSG00000068400	GRIPAP1	0.246839761738816	0.2	0.988878068923113	0
ENSG00000068438	FTSJ1	0.0267193136946958	0.3	9.59563342349641e-06	0.3
ENSG00000068489	PRR11	0.359068232970385	-0.2	0.302700790398248	0.1
ENSG00000068615	REEP1	0.118360333015023	-0.4	0.0585237244132253	-0.3
ENSG00000068650	ATP11A	0.861813758263539	0.1	0.133193242804859	0.2
ENSG00000068654	POLR1A	0.929041582331392	0	0.0484798897452389	0.1
ENSG00000068697	LAPTM4A	0.322800136594496	0.1	7.31357260179646e-07	0.3
ENSG00000068724	TTC7A	0.3284664486513	-0.2	8.42684038849369e-05	-0.3
ENSG00000068745	IP6K2	0.511095408329209	-0.1	0.00132412411369179	-0.2
ENSG00000068781	STON1-GTF2A1L	NA	-0.3	0.963911043738136	0
ENSG00000068784	SRBD1	0.519879172741728	0.1	2.6907994657637e-05	0.3
ENSG00000068796	KIF2A	0.0725498810734222	-0.3	0.0274008544141817	-0.2
ENSG00000068831	RASGRP2	0.968250745984103	0	0.0389120922809435	-0.5
ENSG00000068878	PSME4	0.298051846864213	0.1	0.000115680575025407	0.2
ENSG00000068885	IFT80	0.768536329736471	0.1	0.461222048076379	0.1
ENSG00000068903	SIRT2	0.745571303669934	0	0.0174502651565453	-0.1
ENSG00000068912	ERLEC1	0.000108270935797558	0.5	2.2658852245468e-18	0.6
ENSG00000068971	PPP2R5B	0.00254985558570962	0.4	2.05017031516577e-05	0.3
ENSG00000068976	PYGM	0.797939592542695	-0.1	0.746191035759601	-0.1
ENSG00000068985	PAGE1	NA	0	NA	0
ENSG00000069011	PITX1	0.292737559163651	0.3	0.0025298875780895	0.5
ENSG00000069018	TRPC7	0.8464150705547	-0.1	0.401671963780541	-0.2
ENSG00000069020	MAST4	0.052072932330192	-0.3	0.0379210561210401	-0.2
ENSG00000069122	ADGRF5	0.632127899865395	0.1	7.14514093558511e-06	0.7
ENSG00000069188	SDK2	0.742791381419003	-0.1	0.0154109435393458	-0.4
ENSG00000069206	ADAM7	NA	0	NA	-0.1
ENSG00000069248	NUP133	0.151026678679759	-0.1	0.234810907444359	-0.1
ENSG00000069275	NUCKS1	0.467838511845834	-0.1	0.689862474639522	0
ENSG00000069329	VPS35	9.09152862214664e-08	-0.7	4.15508255135329e-11	-0.5
ENSG00000069345	DNAJA2	0.0789669973566291	-0.2	0.099694505054512	-0.1
ENSG00000069399	BCL3	0.0955220070543039	0.4	0.068128163432777	0.2
ENSG00000069424	KCNAB2	0.690499017346317	0.1	0.504518344943644	0.1
ENSG00000069431	ABCC9	0.903737491781395	0	0.0157441127716104	0.4
ENSG00000069482	GAL	0.0414546735395996	1	1.80666909124815e-06	1.5
ENSG00000069493	CLEC2D	0.357016623931503	-0.3	0.00273662190465214	-0.5
ENSG00000069509	FUNDC1	0.309720775217001	0.2	0.0763157980087835	0.1
ENSG00000069535	MAOB	0.00527225829668857	-0.9	2.37645502463435e-07	-1.2
ENSG00000069667	RORA	0.899485913019332	0	0.191107127017983	0.2
ENSG00000069696	DRD4	0.909016834817094	-0.1	0.000159425158533113	-0.7
ENSG00000069702	TGFBR3	0.263692410485303	-0.2	0.408969431981857	-0.1
ENSG00000069712		0.19334257440585	-0.3	0.0921972448343343	-0.2
ENSG00000069764	PLA2G10	0.0571478178712976	0.7	0.0351249646561516	0.5
ENSG00000069812	HES2	0.00634123396781676	0.7	0.000616266418569458	0.6
ENSG00000069849	ATP1B3	0.858341196522543	0.1	0.839207592282236	0
ENSG00000069869	NEDD4	0.308131676729638	-0.3	0.246110590972934	-0.2
ENSG00000069943	PIGB	0.579430101862964	0.1	0.437045724823559	0.1
ENSG00000069956	MAPK6	0.750135144523036	-0.1	0.194312426665732	-0.2
ENSG00000069966	GNB5	0.65253126902703	-0.1	0.489071514608898	-0.1
ENSG00000069974	RAB27A	0.112927875599102	0.2	4.40097293767294e-05	0.3
ENSG00000069998	HDHD5	0.0316803921847437	0.2	0.292336560694482	0.1
ENSG00000070010	UFD1	0.692179832959131	-0.1	0.169140382223936	-0.1
ENSG00000070018	LRP6	0.0277874184322442	-0.4	0.061062006865446	-0.2
ENSG00000070019	GUCY2C	0.168986455543686	-0.4	0.0202374122194161	-0.5
ENSG00000070031	SCT	0.780384953846712	-0.2	0.00382766056378159	-0.8
ENSG00000070047	PHRF1	0.563186462149284	-0.1	0.0236187388250912	-0.2
ENSG00000070061	ELP1	0.997094966000406	0	0.450980489962723	0
ENSG00000070081	NUCB2	6.48916575518613e-05	0.6	8.06954178020813e-13	0.7
ENSG00000070087	PFN2	0.000912948391527387	-0.8	9.07525448707705e-10	-0.8
ENSG00000070159	PTPN3	0.00551443827066111	-0.6	0.000248472054733667	-0.5
ENSG00000070182	SPTB	0.958861836993279	0	0.177117498816817	0.3
ENSG00000070190	DAPP1	0.535244971688636	0.2	0.0126784413513229	0.5
ENSG00000070193	FGF10	0.0821775435820744	0.7	1.53882513562673e-11	1.4
ENSG00000070214	SLC44A1	0.106900883825959	-0.3	0.981742901252189	0
ENSG00000070269	TMEM260	0.470258209914835	-0.1	0.0115556948216341	-0.1
ENSG00000070366	SMG6	0.499034474932574	-0.2	0.866315493750964	0
ENSG00000070367	EXOC5	0.640489319749243	-0.1	0.0131199763267166	0.2
ENSG00000070371	CLTCL1	0.767555653140386	0.1	0.0188896815734396	0.3
ENSG00000070388	FGF22	0.994385810168574	0	0.546752966055276	-0.2
ENSG00000070404	FSTL3	0.0643565922887051	0.4	0.050449087482474	0.2
ENSG00000070413	DGCR2	0.735479173161467	-0.1	0.0784213424218316	-0.1
ENSG00000070423	RNF126	0.1919920358838	0.2	0.182495646559628	-0.1
ENSG00000070444	MNT	0.709566063883373	0.1	0.0458310689439269	0.1
ENSG00000070476	ZXDC	0.454629771752523	-0.1	7.8006462674765e-05	-0.2
ENSG00000070495	JMJD6	0.139457505183214	0.2	0.504330953407683	0.1
ENSG00000070501	POLB	0.0115874247427225	0.4	4.79097378941565e-06	0.4
ENSG00000070526	ST6GALNAC1	0.371068283529425	0.3	0.238422763107508	0.2
ENSG00000070540	WIPI1	0.000691667222346322	0.7	1.25480343458439e-17	0.9
ENSG00000070601	FRMPD1	0.0828828809632153	-0.7	0.000103982533788582	-0.9
ENSG00000070610	GBA2	0.789134118773159	-0.1	0.0182240622195249	-0.2
ENSG00000070614	NDST1	0.606731579094356	-0.1	0.98480266880683	0
ENSG00000070669	ASNS	0.00878591046206132	0.4	0.00391102698377874	0.2
ENSG00000070718	AP3M2	0.730556486732422	0.1	0.077499936781149	0.1
ENSG00000070729	CNGB1	0.243127110391338	-0.5	0.0166591252392812	-0.6
ENSG00000070731	ST6GALNAC2	0.147626285402892	0.4	6.84313214184004e-08	0.7
ENSG00000070748	CHAT	0.273658559422772	-0.5	0.0232961126863304	-0.7
ENSG00000070756	PABPC1	0.160989277977716	-0.2	0.544315392862739	0
ENSG00000070759	TESK2	0.00678265695519784	-0.5	3.52306157899096e-05	-0.4
ENSG00000070761	CFAP20	0.707187967312876	-0.1	0.808013445597805	0
ENSG00000070770	CSNK2A2	0.0958889721557882	-0.1	0.00217541622632637	-0.1
ENSG00000070778	PTPN21	0.156081598831668	-0.3	0.0904150949339067	-0.2
ENSG00000070785	EIF2B3	0.48251895107088	0.1	0.00295187769927718	0.3
ENSG00000070808	CAMK2A	0.00546575774591214	-0.9	0.0294365255822856	0.6
ENSG00000070814	TCOF1	0.621915939709474	-0.1	0.105635690057567	-0.1
ENSG00000070831	CDC42	0.598686255875847	-0.1	0.765616541210963	0
ENSG00000070882	OSBPL3	0.296653643004494	0.2	0.208178166289528	0.1
ENSG00000070886	EPHA8	NA	-0.4	0.974843991552431	0
ENSG00000070915	SLC12A3	0.58912115470048	0.3	0.459181627084575	0.2
ENSG00000070950	RAD18	0.918467434622388	0	0.162773282246128	0.1
ENSG00000070961	ATP2B1	6.14867882211931e-06	-0.6	1.80581046610126e-05	-0.3
ENSG00000070985	TRPM5	0.277720986250898	-0.4	0.000177394678561388	-0.8
ENSG00000071051	NCK2	0.0609592929751724	-0.3	0.000161979810902557	-0.3
ENSG00000071054	MAP4K4	0.91468543948054	0	0.0906038048705241	0.3
ENSG00000071073	MGAT4A	0.280113071850382	-0.2	0.0164802979699825	-0.3
ENSG00000071082	RPL31	0.898069616004516	0	0.544824706042172	-0.1
ENSG00000071127	WDR1	0.721881201467838	0	0.0158560152044547	0.1
ENSG00000071189	SNX13	0.73785139696031	-0.1	0.304861101910978	0.1
ENSG00000071203	MS4A12	0.000709035956887277	1.5	4.39060437262963e-05	1.8
ENSG00000071205	ARHGAP10	0.228193948055173	0.2	0.00529880177433244	0.3
ENSG00000071242	RPS6KA2	4.39445102499857e-06	0.8	6.43687707486768e-20	0.8
ENSG00000071243	ING3	0.640601221793331	0	0.137378387060849	-0.1
ENSG00000071246	VASH1	0.108708161411819	0.3	2.82806168021456e-05	0.4
ENSG00000071282	LMCD1	0.64422764398512	0.1	0.00282068533799655	0.4
ENSG00000071462	BUD23	0.194015277700437	0.1	0.280369322565097	0.1
ENSG00000071537	SEL1L	0.909614615410452	0	1.01910314750591e-05	0.4
ENSG00000071539	TRIP13	0.28870019998048	0.2	0.00303942468474458	0.3
ENSG00000071553	ATP6AP1	0.250642594060367	0.2	0.110035662526738	0.1
ENSG00000071564	TCF3	0.119824669849261	-0.2	1.19645814286266e-05	-0.3
ENSG00000071575	TRIB2	0.305489366596292	0.3	0.0503336036550971	0.3
ENSG00000071626	DAZAP1	0.330872474765874	0.1	0.316125465527164	-0.1
ENSG00000071655	MBD3	0.474625124316918	0.2	0.361022894733135	-0.1
ENSG00000071677	PRLH	NA	0	NA	0
ENSG00000071794	HLTF	0.855954844661451	0	0.222272131986545	0.1
ENSG00000071859	FAM50A	0.459244259979067	0.2	0.267199672831087	-0.1
ENSG00000071889	FAM3A	0.983348008153857	0	0.000168504020767017	-0.4
ENSG00000071894	CPSF1	0.257586977311566	0.2	0.552291902883413	-0.1
ENSG00000071909	MYO3B	0.379469929306096	-0.4	0.754552968047487	-0.1
ENSG00000071967	CYBRD1	0.0346465865406889	-0.7	0.000546762461010859	-0.7
ENSG00000071991	CDH19	0.234462886594594	0.4	0.00360522349029841	0.5
ENSG00000071994	PDCD2	0.831936713585593	0	0.944303310309379	0
ENSG00000072041	SLC6A15	NA	-0.2	0.792185076289632	-0.1
ENSG00000072042	RDH11	0.419137698085334	0.1	4.75325112831403e-06	0.3
ENSG00000072062	PRKACA	0.880276534086646	0	0.37408904573234	0.1
ENSG00000072071	ADGRL1	0.681558607132118	0.1	0.163308949799622	-0.1
ENSG00000072080	SPP2	0.939841349183877	0	0.0156229899682569	-0.4
ENSG00000072110	ACTN1	0.0594679320548052	0.4	2.69842749292649e-08	0.6
ENSG00000072121	ZFYVE26	0.393625872786094	-0.1	0.981159033819488	0
ENSG00000072133	RPS6KA6	0.776067863492523	-0.1	0.528725816372617	0.1
ENSG00000072134	EPN2	0.004792875410113	0.3	0.000299626768795366	0.2
ENSG00000072135	PTPN18	0.91042785874879	0	0.0574294069684032	-0.1
ENSG00000072163	LIMS2	0.508068010784441	0.2	0.829456209167113	0
ENSG00000072182	ASIC4	0.545303098978619	-0.3	0.877911995822903	-0.1
ENSG00000072195	SPEG	0.417206317268603	0.2	0.94688868975307	0
ENSG00000072201	LNX1	0.802453756723896	-0.1	0.729646453885966	-0.1
ENSG00000072210	ALDH3A2	0.0272715441788577	-0.3	0.0304856787387797	-0.2
ENSG00000072274	TFRC	8.40209510062729e-08	1	2.04920400691051e-19	1.1
ENSG00000072310	SREBF1	0.650083086348381	0.1	0.0579778705482625	-0.2
ENSG00000072315	TRPC5	NA	0.2	NA	-0.2
ENSG00000072364	AFF4	0.254740130114637	-0.2	0.725310688295302	0
ENSG00000072401	UBE2D1	0.00121900163569411	0.5	9.44668577564048e-14	0.8
ENSG00000072415	MPP5	0.00529141954355979	-0.6	3.50453382958486e-05	-0.5
ENSG00000072422	RHOBTB1	0.981027296153749	0	0.082909758373765	0.1
ENSG00000072501	SMC1A	0.377191130910624	-0.2	0.235215508136162	-0.1
ENSG00000072506	HSD17B10	0.570558564757439	0.1	0.613161074627689	0.1
ENSG00000072518	MARK2	0.819285121631271	0	0.810398204636038	0
ENSG00000072571	HMMR	0.967883999189168	0	0.12357414881046	0.2
ENSG00000072609	CHFR	0.0397175109173547	0.2	0.0226343119018265	0.1
ENSG00000072657	TRHDE	0.000993933956317761	-1	4.58785513478331e-07	-1.2
ENSG00000072682	P4HA2	0.681998282751324	-0.1	0.0779769329697507	-0.2
ENSG00000072694	FCGR2B	0.552552144911229	0.3	0.309807761599684	0.3
ENSG00000072736	NFATC3	0.0250350343876055	-0.5	0.000345378180336001	-0.4
ENSG00000072756	TRNT1	0.751563526359617	0	0.0584710243619431	0.1
ENSG00000072778	ACADVL	0.325900021849262	0.2	0.215085251942246	-0.1
ENSG00000072786	STK10	0.951761977467075	0	0.921625583687425	0
ENSG00000072803	FBXW11	0.437228546925429	-0.1	0.675090782983081	0
ENSG00000072818	ACAP1	0.744540579734257	0.1	0.0350120058943603	-0.3
ENSG00000072832	CRMP1	0.663433134441366	-0.1	0.749454291991128	0
ENSG00000072840	EVC	0.830939909430242	0.1	0.000515226382568996	0.5
ENSG00000072849	DERL2	0.892691665707311	0	0.841662047590429	0
ENSG00000072858	SIDT1	0.79467911274933	0.1	0.701073658276158	0
ENSG00000072864	NDE1	0.875236019725666	0	0.0316038502487347	0.2
ENSG00000072952	IRAG1	0.523752793499178	0.1	8.25043834934396e-05	0.4
ENSG00000072954	TMEM38A	0.587119369610948	-0.2	0.853311800687306	0
ENSG00000072958	AP1M1	0.333958693215564	-0.1	0.50156740919021	-0.1
ENSG00000073008	PVR	0.903599628741807	0	0.330260084519886	0.1
ENSG00000073050	XRCC1	0.471994811773915	0.1	0.73019903145435	0
ENSG00000073060	SCARB1	0.268233635831117	0.2	0.0573829237938921	0.1
ENSG00000073067	CYP2W1	0.231459229111784	0.5	0.728082883131095	0.1
ENSG00000073111	MCM2	0.735438612068342	-0.1	0.719015280037551	0
ENSG00000073146	MOV10L1	0.283095991401477	0.4	0.0153108495141021	0.5
ENSG00000073150	PANX2	0.0697672380614048	0.8	4.14480373157245e-12	1.9
ENSG00000073169	SELENOO	0.483300157487302	0.2	0.017891885698672	-0.2
ENSG00000073282	TP63	0.38813567533503	-0.4	0.838351829433984	-0.1
ENSG00000073331	ALPK1	0.00414376447637192	0.4	2.95671088149371e-06	0.3
ENSG00000073350	LLGL2	0.476382199253694	0.2	0.977509016726413	0
ENSG00000073417	PDE8A	0.848967482739045	-0.1	0.794260450782941	0
