Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of phosphorylation (GO:0042327)	18/253	0.06664434333681406	0.3058107199068829	0	0	1.5155475923852184	4.104686528354913	TFRC;ENTPD5;FZD7;HGF;LIMK2;PLAUR;PIK3R3;TREM2;FPR2;FXR1;SDCBP;CCND1;IFNG;IL1B;FGF18;FAM20A;CCN1;CARD14
endodermal cell differentiation (GO:0035987)	4/32	0.06697861966501362	0.3058107199068829	0	0	2.8162418494368704	7.61337701647629	VTN;MMP14;COL7A1;INHBA
hematopoietic progenitor cell differentiation (GO:0002244)	4/32	0.06697861966501362	0.3058107199068829	0	0	2.8162418494368704	7.61337701647629	SHH;SFRP1;PLEK;INHBA
regulation of cell migration involved in sprouting angiogenesis (GO:0090049)	4/32	0.06697861966501362	0.3058107199068829	0	0	2.8162418494368704	7.61337701647629	FGFBP1;SRPX2;GATA2;PTGS2
superoxide metabolic process (GO:0006801)	4/32	0.06697861966501362	0.3058107199068829	0	0	2.8162418494368704	7.61337701647629	NOS2;NCF2;SOD2;DUOX2
androgen biosynthetic process (GO:0006702)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	SRD5A1;HSD3B1
astral microtubule organization (GO:0030953)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	LIMK2;TPPP
cellular response to nitric oxide (GO:0071732)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	MMP3;AQP1
cellular response to reactive nitrogen species (GO:1902170)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	MMP3;AQP1
DNA cytosine deamination (GO:0070383)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	AICDA;APOBEC3A
hormone transport (GO:0009914)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	FFAR4;SLC16A10
negative regulation of alpha-beta T cell activation (GO:0046636)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	CD274;CD300A
negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	ERLEC1;DERL3
negative regulation of T cell cytokine production (GO:0002725)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	HLA-F;FOXP3
positive regulation of B cell differentiation (GO:0045579)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	MMP14;SYK
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	FGFBP1;GATA2
positive regulation of chromatin binding (GO:0035563)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	DTX3L;PARP9
positive regulation of inositol phosphate biosynthetic process (GO:0060732)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	HRH1;P2RY6
positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	GBP5;CD36
positive regulation of phagocytosis, engulfment (GO:0060100)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	ANO6;TREM2
positive regulation of smooth muscle cell apoptotic process (GO:0034393)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	IFNG;SOD2
positive regulation of smooth muscle contraction (GO:0045987)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	SPHK1;PROK2
regulation of cell adhesion molecule production (GO:0060353)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	CXCL8;IL1B
regulation of cellular extravasation (GO:0002691)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	OLFM4;ICAM1
regulation of complement-dependent cytotoxicity (GO:1903659)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	IL11;CD55
regulation of dendritic cell antigen processing and presentation (GO:0002604)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	SLC11A1;NOD2
regulation of DNA-templated transcription in response to stress (GO:0043620)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	MUC1;TCIM
regulation of fibroblast apoptotic process (GO:2000269)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	SFRP1;STK17B
regulation of glial cell proliferation (GO:0060251)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	IL6;IL1B
regulation of interleukin-23 production (GO:0032667)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	IFNG;CLEC7A
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	NOS2;ICAM1
regulation of protein deacetylation (GO:0090311)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	NNMT;IFNG
regulation of respiratory burst (GO:0060263)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	CLEC7A;JCHAIN
response to leptin (GO:0044321)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	NR4A3;CCND1
response to vitamin (GO:0033273)	2/9	0.06719198055531458	0.3058107199068829	0	0	5.6270334220644775	15.194123386517246	CYP27B1;ALPL
protein homooligomerization (GO:0051260)	10/121	0.06882484251913439	0.31285564216722567	0	0	1.7793262991592846	4.761816166840858	GBP5;STEAP4;MLKL;ALDH1A2;SLC1A5;NLRC4;SOD2;KCNJ2;GLS;ALDH9A1
response to organic cyclic compound (GO:0014070)	6/60	0.06933757931813365	0.3129918953863688	0	0	2.191961191961192	5.84983643358994	CYP27B1;SFRP1;IL1B;CCL3;CCL2;ALPL
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	BTN3A3;CD55;IL18BP
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	PML;HERPUD1;TGM2
energy reserve metabolic process (GO:0006112)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	PHKA1;PYGL;MRAP2
fatty acid transport (GO:0015908)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	SLC5A8;ACSL1;CD36
modulation by symbiont of entry into host (GO:0052372)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	CXCL8;TRIM21;NECTIN2
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	HLA-F;NECTIN2;HLA-E
positive regulation of peptidyl-lysine acetylation (GO:2000758)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	RPS6KA4;IL1B;FOXP3
regulation of protein localization to cell periphery (GO:1904375)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	MMP14;GBP1;APPL1
xenobiotic transport (GO:0042908)	3/20	0.06977217749490204	0.3129918953863688	0	0	3.477293508076806	9.258363343874114	ABCB1;ABCC2;ABCG2
sodium ion transport (GO:0006814)	8/90	0.06978988215975253	0.3129918953863688	0	0	1.9258130081300813	5.127026945413347	SLC5A8;SCNN1B;SLC6A14;SLC6A12;SLC4A11;ANO6;SCN1B;SLC5A4
alpha-amino acid metabolic process (GO:1901605)	5/46	0.0702670550920193	0.3143660958065797	0	0	2.404959096319935	6.386253978843327	FOLH1;GPT2;PYCR1;GLUL;GLS
positive regulation of smooth muscle cell proliferation (GO:0048661)	5/46	0.0702670550920193	0.3143660958065797	0	0	2.404959096319935	6.386253978843327	P2RY6;IL6;NR4A3;ADAMTS1;STAT1
positive regulation of protein serine/threonine kinase activity (GO:0071902)	9/106	0.07140456811306453	0.31906749974794124	0	0	1.8319662879072918	4.835279788879674	CCND1;IFNG;TCIM;IL1B;WNT5A;FGF18;S100A12;PARP16;NOD2
apoptotic mitochondrial changes (GO:0008637)	4/33	0.07342843755441802	0.32698231730948857	0	0	2.718986979539276	7.100482195112412	VPS35;BID;SOD2;HK2
regulation of histone acetylation (GO:0035065)	4/33	0.07342843755441802	0.32698231730948857	0	0	2.718986979539276	7.100482195112412	RPS6KA4;IL1B;FOXP3;RAPGEF3
positive regulation of supramolecular fiber organization (GO:1902905)	8/91	0.07344225323599866	0.32698231730948857	0	0	1.9025100401606425	4.967940475520536	SEMA5A;HCK;CSF3;FES;TRPV4;PLEK;CDC42EP1;PFN2
iron ion homeostasis (GO:0055072)	6/61	0.07391366212769321	0.32868370042773715	0	0	2.151993951993952	5.605637790114454	TFRC;ABCB7;SLC11A1;SLC11A2;LCN2;ABCG2
phospholipid metabolic process (GO:0006644)	7/76	0.0745210601716023	0.33098497412767147	0	0	2.0018549518164956	5.198163717593823	PLPPR2;GPAM;LIPG;PLA2G2A;LPL;PLA2G3;ALOX15B
positive regulation of apoptotic process (GO:0043065)	21/310	0.07637209481958818	0.3381323842036715	0	0	1.438171168834016	3.699174570883129	HRK;ZBP1;IGFBP3;TNFRSF10C;PCSK9;ANO6;NLRC4;DUSP6;SFRP1;IL6;FAP;ADAMTSL4;RPS6KA2;STK17B;UBD;ZC3H12A;CCL3;MNDA;PLEKHN1;BID;TGM2
acetylcholine receptor signaling pathway (GO:0095500)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	CHRM3;GNB1;LYPD1
androgen metabolic process (GO:0008209)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	SHH;SRD5A1;HSD3B1
calcium ion transport into cytosol (GO:0060402)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	TRPV4;JPH1;GRIN2D
heparan sulfate proteoglycan metabolic process (GO:0030201)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	XYLT1;HPSE;HS2ST1
linoleic acid metabolic process (GO:0043651)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	ACSL1;ELOVL3;ALOX15B
positive regulation of phosphatase activity (GO:0010922)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	IFNG;CD300A;PLEK
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	P2RY6;NR4A3;ADAMTS1
regulation of anoikis (GO:2000209)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	TLE1;CEACAM6;CEACAM5
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	CD36;LILRA2;CD55
response to progesterone (GO:0032570)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	CATSPER1;CATSPERB;ACOD1
sensory perception of pain (GO:0019233)	3/21	0.07858652896217767	0.3381323842036715	0	0	3.2839378238341967	8.3528764107008	CCL2;PROK2;CCR2
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	4/34	0.08018070374712483	0.3381323842036715	0	0	2.6282157676348548	6.632229936983057	FOSL1;EGR1;FOS;GATA2
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	4/34	0.08018070374712483	0.3381323842036715	0	0	2.6282157676348548	6.632229936983057	CXCL10;CXCL9;P2RY6;CXCL11
regulation of cell adhesion mediated by integrin (GO:0033628)	4/34	0.08018070374712483	0.3381323842036715	0	0	2.6282157676348548	6.632229936983057	MUC1;SYK;PLAU;SERPINE1
regulation of glucose metabolic process (GO:0010906)	4/34	0.08018070374712483	0.3381323842036715	0	0	2.6282157676348548	6.632229936983057	USP7;SLC45A3;PDK2;PDK1
negative regulation of MAP kinase activity (GO:0043407)	5/48	0.08125752218832367	0.3381323842036715	0	0	2.2928590403052476	5.755378576347272	CD300A;HYAL2;IL1B;PTPRJ;SORL1
positive regulation of blood vessel endothelial cell migration (GO:0043536)	5/48	0.08125752218832367	0.3381323842036715	0	0	2.2928590403052476	5.755378576347272	FGFBP1;SRPX2;FGF18;GATA2;PTGS2
positive regulation of endocytosis (GO:0045807)	5/48	0.08125752218832367	0.3381323842036715	0	0	2.2928590403052476	5.755378576347272	VTN;SGIP1;SERPINE1;TREM2;ANO6
arginine metabolic process (GO:0006525)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	NOS2;SLC39A8
cellular response to acetylcholine (GO:1905145)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	CHRM3;LYPD1
cellular response to interleukin-4 (GO:0071353)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	DCSTAMP;RUFY4
cellular response to oxidised low-density lipoprotein particle stimulus (GO:0140052)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	TREM2;CD36
cellular response to prostaglandin stimulus (GO:0071379)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	SFRP1;GNB1
complement activation, lectin pathway (GO:0001867)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	FCN1;FCN3
fructose 6-phosphate metabolic process (GO:0006002)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	HK3;HK2
I-kappaB phosphorylation (GO:0007252)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	PRDX4;TLR2
immunoglobulin mediated immune response (GO:0016064)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	FCER1G;TLR8
lipoprotein transport (GO:0042953)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	VMP1;CD36
long-chain fatty acid import into cell (GO:0044539)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	ACSL1;CD36
monocyte activation (GO:0042117)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	HYAL2;DYSF
myelin assembly (GO:0032288)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	PMP22;TPPP
negative regulation of alpha-beta T cell proliferation (GO:0046642)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	CD274;LGALS9
negative regulation of cell adhesion mediated by integrin (GO:0033629)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	MUC1;SERPINE1
negative regulation of leukocyte migration (GO:0002686)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	CD300A;SLAMF8
negative regulation of protein exit from endoplasmic reticulum (GO:0070862)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	ERLEC1;DERL3
negative regulation of receptor binding (GO:1900121)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	ADAM15;PCSK9
negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	SOCS3;PARP14
neuron remodeling (GO:0016322)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	C1QA;RND1
positive regulation of behavior (GO:0048520)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	NR4A3;SGIP1
positive regulation of mesenchymal cell proliferation (GO:0002053)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	SHH;STAT1
positive regulation of monocyte differentiation (GO:0045657)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	DCSTAMP;FES
positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	VTN;IL1B
Rap protein signal transduction (GO:0032486)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	SGSM3;RAPGEF3
receptor recycling (GO:0001881)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	PHETA2;SORL1
regulation of actin filament-based movement (GO:1903115)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	MYBPC3;PDPN
regulation of carbohydrate biosynthetic process (GO:0043255)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	USP7;PDK2
regulation of histone phosphorylation (GO:0033127)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	RPS6KA4;IL1B
regulation of low-density lipoprotein particle clearance (GO:0010988)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	PCSK9;TREM2
regulation of mast cell activation (GO:0033003)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	PLSCR1;NECTIN2
regulation of neutrophil migration (GO:1902622)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	SLAMF8;OLFM4
regulation of receptor binding (GO:1900120)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	ADAM15;BDNF
regulation of T-helper 17 type immune response (GO:2000316)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	CLEC7A;CLEC6A
regulation of urine volume (GO:0035809)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	HYAL2;ADM
response to interleukin-4 (GO:0070670)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	DCSTAMP;RUFY4
sarcoplasmic reticulum calcium ion transport (GO:0070296)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	CCL3;NOL3
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	2/10	0.08136482683445219	0.3381323842036715	0	0	4.923395445134576	12.351874568654075	WNT5A;WNT2
regulation of protein secretion (GO:0050708)	10/125	0.08159645635956293	0.33871268581275166	0	0	1.7170736135063993	4.302934010127461	RHBDF1;IL1A;IL6;DNAJC1;IFNG;NOS2;IL1B;SAA1;TREM2;RAPGEF3
regulation of cell cycle (GO:0051726)	20/296	0.08377463503144368	0.3473628448038014	0	0	1.4336818932306	3.5549934672277907	ASAH2;CXCL8;INHBA;WDR12;ALOX15B;CDC14A;PML;SDCBP;SFRP1;FAP;CCND1;IFNG;RPS6KA2;IRF1;PIM3;RPRD1B;PIM2;JUNB;TRIM21;TRIM32
negative regulation of cell growth (GO:0030308)	10/126	0.08500190976750771	0.3520551538402288	0	0	1.702181268447196	4.1960156479304676	ACVRL1;CYP27B1;DCSTAMP;SFRP1;ADAM15;HYAL2;PTPRJ;INHBA;RTN4;PML
response to endoplasmic reticulum stress (GO:0034976)	9/110	0.08554425134552404	0.35390329601597703	0	0	1.7590414933047007	4.324993099103649	ERLEC1;CEBPB;CXCL8;CHAC1;RNF183;RNF186;ATF3;PDIA4;HERPUD1
regulation of smooth muscle cell proliferation (GO:0048660)	5/49	0.08707559194690945	0.3588565769469798	0	0	2.2406306051165865	5.46933150239801	IL6;NR4A3;IFNG;STAT1;IGFBP3
cellular response to amyloid-beta (GO:1904646)	4/35	0.08722885289721535	0.3588565769469798	0	0	2.5433007629500737	6.203670394609532	TREM2;FPR2;CD36;ICAM1
cellular response to virus (GO:0098586)	4/35	0.08722885289721535	0.3588565769469798	0	0	2.5433007629500737	6.203670394609532	CXCL10;IL6;ZC3H12A;LGALS9
negative regulation of neurogenesis (GO:0050768)	4/35	0.08722885289721535	0.3588565769469798	0	0	2.5433007629500737	6.203670394609532	IL6;IL1B;SORL1;RTN4
regulation of T cell receptor signaling pathway (GO:0050856)	4/35	0.08722885289721535	0.3588565769469798	0	0	2.5433007629500737	6.203670394609532	CD300A;PTPRJ;GBP1;NECTIN2
glutamate metabolic process (GO:0006536)	3/22	0.0878581543570262	0.3590385397808773	0	0	3.1109353695118624	7.5658932713279174	ALDH5A1;GLUL;GLS
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	3/22	0.0878581543570262	0.3590385397808773	0	0	3.1109353695118624	7.5658932713279174	PSMB10;PSMB8;PSMB9
regulation of cardiac muscle cell membrane repolarization (GO:0099623)	3/22	0.0878581543570262	0.3590385397808773	0	0	3.1109353695118624	7.5658932713279174	KCNH2;KCNE3;SCN1B
regulation of lipid storage (GO:0010883)	3/22	0.0878581543570262	0.3590385397808773	0	0	3.1109353695118624	7.5658932713279174	IL6;ZC3H12A;LPL
regulation of membrane protein ectodomain proteolysis (GO:0051043)	3/22	0.0878581543570262	0.3590385397808773	0	0	3.1109353695118624	7.5658932713279174	IFNG;IL1B;TIMP1
regulation of viral release from host cell (GO:1902186)	3/22	0.0878581543570262	0.3590385397808773	0	0	3.1109353695118624	7.5658932713279174	TRIM21;TRIM32;PML
Fc-epsilon receptor signaling pathway (GO:0038095)	9/111	0.08932252867202121	0.364618127018162	0	0	1.741703980862418	4.207088651751384	NR4A3;FCER1G;TEC;SYK;FCER1A;FOS;PSMB10;PSMB8;PSMB9
regulation of fat cell differentiation (GO:0045598)	7/80	0.09217748442993035	0.3722623603910486	0	0	1.891765141904124	4.510042599457647	SFRP1;CEBPB;IL6;ZC3H12A;WNT5A;LPL;GATA2
iron ion transport (GO:0006826)	5/50	0.09310503356370821	0.3722623603910486	0	0	2.190723433714088	5.2008366467939435	TFRC;ABCB7;SLC11A1;SLC11A2;TCIRG1
regulation of cellular component movement (GO:0051270)	5/50	0.09310503356370821	0.3722623603910486	0	0	2.190723433714088	5.2008366467939435	PRAG1;FES;PDPN;ZSWIM5;HBEGF
Fc receptor signaling pathway (GO:0038093)	9/112	0.09319793537976173	0.3722623603910486	0	0	1.7247031191471698	4.092771742861877	PIGR;FCER1G;TEC;SYK;FCER1A;FOS;PSMB10;PSMB8;PSMB9
cellular transition metal ion homeostasis (GO:0046916)	8/96	0.09340594392313083	0.3722623603910486	0	0	1.793939393939394	4.253072046764455	TFRC;ABCB7;SLC11A1;SLC11A2;LCN2;SLC39A8;SLC39A7;ABCG2
protein autoubiquitination (GO:0051865)	6/65	0.09388832122497302	0.3722623603910486	0	0	2.0056732090630396	4.74471937311551	CNOT4;DTX3L;KLHL24;RNF183;RNF186;TRIM21
regulation of cell-matrix adhesion (GO:0001952)	6/65	0.09388832122497302	0.3722623603910486	0	0	2.0056732090630396	4.74471937311551	SFRP1;ADAM15;PLAU;SEMA3E;CD36;CCL28
activation of adenylate cyclase activity (GO:0007190)	4/36	0.09456554598601676	0.3722623603910486	0	0	2.4636929460580914	5.8105263816646415	ADCYAP1;ADCY9;ADORA2B;TSHR
cyclic-nucleotide-mediated signaling (GO:0019935)	4/36	0.09456554598601676	0.3722623603910486	0	0	2.4636929460580914	5.8105263816646415	ADCYAP1;CD36;RAPGEF3;AQP1
endoderm formation (GO:0001706)	4/36	0.09456554598601676	0.3722623603910486	0	0	2.4636929460580914	5.8105263816646415	VTN;MMP14;COL7A1;INHBA
positive regulation of bone mineralization (GO:0030501)	4/36	0.09456554598601676	0.3722623603910486	0	0	2.4636929460580914	5.8105263816646415	KL;ANO6;ATP2B1;CCN1
positive regulation of myeloid leukocyte differentiation (GO:0002763)	4/36	0.09456554598601676	0.3722623603910486	0	0	2.4636929460580914	5.8105263816646415	DCSTAMP;IFNG;FES;PF4
regulation of protein import into nucleus (GO:0042306)	4/36	0.09456554598601676	0.3722623603910486	0	0	2.4636929460580914	5.8105263816646415	IFNG;BAG3;HYAL2;ZC3H12A
angiogenesis involved in wound healing (GO:0060055)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	HPSE;GATA2
B cell mediated immunity (GO:0019724)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	FCER1G;TLR8
cardiac muscle cell membrane repolarization (GO:0099622)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	KCNH2;KCNJ2
cellular glucan metabolic process (GO:0006073)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	PHKA1;PYGL
copper ion transport (GO:0006825)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	STEAP4;SLC11A2
cyclooxygenase pathway (GO:0019371)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	TBXAS1;PTGS2
cytidine to uridine editing (GO:0016554)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	AICDA;APOBEC3A
glucocorticoid biosynthetic process (GO:0006704)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	HSD11B1;HSD3B1
glucocorticoid metabolic process (GO:0008211)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	HSD11B1;HSD3B1
hepatocyte growth factor receptor signaling pathway (GO:0048012)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	HGF;HPN
interleukin-35-mediated signaling pathway (GO:0070757)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	STAT1;IL12RB2
lipoprotein localization (GO:0044872)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	VMP1;CD36
metanephric mesenchyme development (GO:0072075)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	SHH;STAT1
negative regulation of bone remodeling (GO:0046851)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	IL6;SFRP1
negative regulation of interleukin-17 production (GO:0032700)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	IFNG;FOXP3
negative regulation of potassium ion transmembrane transport (GO:1901380)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	KCNH2;KCNE3
negative regulation of T-helper cell differentiation (GO:0045623)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	ZC3H12A;FOXP3
positive regulation of bone resorption (GO:0045780)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	DCSTAMP;SYK
positive regulation of cellular extravasation (GO:0002693)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	CCR2;ICAM1
positive regulation of epidermal growth factor-activated receptor activity (GO:0045741)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	AREG;HBEGF
positive regulation of interleukin-13 production (GO:0032736)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	LGALS9;HLA-E
positive regulation of leukocyte apoptotic process (GO:2000108)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	HCAR2;LGALS9
positive regulation of lipid localization (GO:1905954)	2/11	0.09635144743418504	0.3722623603910486	0	0	4.376121463077985	10.239042715794138	ZC3H12A;LPL
